sample_id,file_id,wl_code,poco,tipo_amostra,direcao_amostra,numero_testo,profundidade,porosidade,densidade,permeabilidade_long,pressao_conf,data_inicio_poco,fluido_deslocante,fluido_deslocado,permeabilidade_absoluta,pressao,saturacao,metodo,curva,coeficiente_litologico,coeficiente_cimentacao,expoente_saturacao,unidade,fluxo_fracionario,permeabilidade_fluido_deslocante,permeabilidade_fluido_deslocado,kg_abs,saturacao_agua
102,6031766.0,WL000564736,Well A,A,VH1,,2028.0,2.3,2.69,0.0001,3000.0,,,,,,,,,,,,,,,,,
105,6031766.0,WL000564736,Well A,A,VH1,,2035.0,20.2,2.71,0.291,3000.0,,,,,,,,,,,,,,,,,
100,6031766.0,WL000564736,Well A,A,VH1,,2038.0,20.7,2.71,0.327,3000.0,,,,,,,,,,,,,,,,,
103,6031766.0,WL000564736,Well A,A,VH1,,2050.0,22.5,2.75,0.224,3000.0,,,,,,,,,,,,,,,,,
106,6031766.0,WL000564736,Well A,A,VH1,,2052.0,17.7,2.71,2.6,3000.0,,,,,,,,,,,,,,,,,
104,6031766.0,WL000564736,Well A,A,VH1,,2074.0,26.7,2.77,4.29,2600.0,,,,,,,,,,,,,,,,,
107,6031767.0,WL000564736,Well A,Amostra Lateral,VH1,-,2101.0,7.1,2.71,0.011,3100.0,,,,,,,,,,,,,,,,,
108,6031767.0,WL000564736,Well A,Amostra Lateral,VH1,-,2531.5,20.3,2.75,49.8,3700.0,,,,,,,,,,,,,,,,,
109,6031767.0,WL000564736,Well A,Amostra Lateral,VH1,-,2545.5,4.7,2.78,0.002,3800.0,,,,,,,,,,,,,,,,,
110,6031767.0,WL000564736,Well A,Amostra Lateral,VH1,-,2891.5,18.8,2.73,15.3,4300.0,,,,,,,,,,,,,,,,,
1571,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,3614.0,0.01,,0.0,1800.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1572,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4537.0,16.9,2.62,312.0,3800.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1573,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4680.0,7.1,2.68,13.8,4100.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1574,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4681.0,18.2,2.66,6.48,4100.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1575,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4683.0,23.5,2.59,678.0,4100.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1576,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4684.0,19.8,2.57,56.6,4100.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1577,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4685.0,23.5,2.62,942.0,4100.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1578,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4688.0,18.3,2.66,553.0,4100.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1585,6038243.0,WL000768708,Well AA,Plug,IH1,1,4688.95,26.0,2.65,1983.0,4200.0,,,,,,,,,,,,,,,,,
1586,6038243.0,WL000768708,Well AA,Plug,IH1,1,4689.25,24.1,2.65,1195.0,4200.0,,,,,,,,,,,,,,,,,
1587,6038243.0,WL000768708,Well AA,Plug,IV1,1,4689.45,23.5,2.66,1384.0,4200.0,,,,,,,,,,,,,,,,,
1588,6038243.0,WL000768708,Well AA,Plug,IH1,1,4689.75,20.1,2.68,131.4,4200.0,,,,,,,,,,,,,,,,,
1589,6038243.0,WL000768708,Well AA,Plug,IH1,1,4690.05,18.1,2.67,227.0,4200.0,,,,,,,,,,,,,,,,,
1590,6038243.0,WL000768708,Well AA,Plug,IH1,3,4732.25,19.7,2.65,8.4,4200.0,,,,,,,,,,,,,,,,,
1591,6038243.0,WL000768708,Well AA,Plug,IH1,3,4732.6,13.8,2.66,0.341,4200.0,,,,,,,,,,,,,,,,,
1592,6038243.0,WL000768708,Well AA,Plug,IH1,3,4733.65,20.9,2.66,9.15,4200.0,,,,,,,,,,,,,,,,,
1593,6038243.0,WL000768708,Well AA,Plug,IH1,3,4734.85,16.2,2.66,25.48,4200.0,,,,,,,,,,,,,,,,,
1594,6038243.0,WL000768708,Well AA,Plug,IH1,3,4735.3,18.4,2.65,8.48,4200.0,,,,,,,,,,,,,,,,,
1579,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4742.0,9.7,2.7,5.16,4200.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1595,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4744.0,20.7,2.64,233.5,4200.0,,,,,,,,,,,,,,,,,
1596,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4745.0,23.4,2.65,194.0,4200.0,,,,,,,,,,,,,,,,,
1597,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4746.0,24.0,2.66,588.5,4200.0,,,,,,,,,,,,,,,,,
1598,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4747.0,21.8,2.65,700.0,4200.0,,,,,,,,,,,,,,,,,
1599,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4748.0,20.7,2.65,187.1,4200.0,,,,,,,,,,,,,,,,,
1600,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4749.0,0.01,,0.0,4200.0,,,,,,,,,,,,,,,,,
1580,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4750.0,16.8,2.61,131.0,4300.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1601,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4751.0,20.5,2.64,658.0,4200.0,,,,,,,,,,,,,,,,,
1602,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4752.0,23.2,2.65,1161.0,4200.0,,,,,,,,,,,,,,,,,
1581,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4754.0,19.6,2.62,224.0,4300.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1603,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4755.0,12.0,2.66,4.98,4200.0,,,,,,,,,,,,,,,,,
1582,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4756.0,18.9,2.6,204.0,4300.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1604,6038243.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4761.0,23.5,2.64,533.2,4200.0,,,,,,,,,,,,,,,,,
1583,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4763.0,17.4,2.61,1453.0,4300.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1584,6038242.0,WL000768708,Well AA,Amostra Lateral,VH1,-,4764.0,9.4,2.65,0.12,4300.0,2015-08-19 00:00:00,,,,,,,,,,,UO-SEAL,,,,,
1548,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5131.0,12.8,2.68,1200.0,4100.0,,,,,,,,,,,,,,,,,
1549,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5132.0,21.8,2.64,115.0,4100.0,,,,,,,,,,,,,,,,,
1550,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5133.5,23.4,2.65,208.0,4100.0,,,,,,,,,,,,,,,,,
1551,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5136.5,16.5,2.66,153.0,4100.0,,,,,,,,,,,,,,,,,
1552,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5144.5,5.9,2.67,0.0,4100.0,,,,,,,,,,,,,,,,,
1553,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5179.0,12.1,2.64,40.0,4200.0,,,,,,,,,,,,,,,,,
1542,6038057.0,WL000774049,Well AB,A,VH1,,5378.0,22.1,2.65,363.0,5900.0,,,,,,,,,,,,,,,,,
1541,6038057.0,WL000774049,Well AB,A,VH1,,5380.0,16.0,2.74,184.0,5900.0,,,,,,,,,,,,,,,,,
1554,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5388.5,2.4,2.68,0.001,5000.0,,,,,,,,,,,,,,,,,
1555,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5390.5,21.5,2.64,349.0,5000.0,,,,,,,,,,,,,,,,,
1539,6038057.0,WL000774049,Well AB,A,VH1,,5392.5,15.6,2.7,214.0,6000.0,,,,,,,,,,,,,,,,,
1544,6038057.0,WL000774049,Well AB,A,VH1,,5394.0,22.6,2.73,399.0,6000.0,,,,,,,,,,,,,,,,,
1556,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5396.0,14.2,2.65,230.0,5000.0,,,,,,,,,,,,,,,,,
1557,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5397.0,14.5,2.65,160.0,5000.0,,,,,,,,,,,,,,,,,
1543,6038057.0,WL000774049,Well AB,A,VH1,,5398.0,15.6,2.74,210.0,6000.0,,,,,,,,,,,,,,,,,
1558,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5399.0,13.6,2.65,118.0,5000.0,,,,,,,,,,,,,,,,,
1559,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5400.0,17.5,2.65,427.0,5000.0,,,,,,,,,,,,,,,,,
1547,6038057.0,WL000774049,Well AB,A,VH1,,5401.0,18.7,2.65,478.0,6000.0,,,,,,,,,,,,,,,,,
1560,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5403.0,14.5,2.64,1140.0,5000.0,,,,,,,,,,,,,,,,,
1561,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5404.0,16.4,2.66,353.0,5000.0,,,,,,,,,,,,,,,,,
1540,6038057.0,WL000774049,Well AB,A,VH1,,5405.0,14.6,2.7,177.0,6000.0,,,,,,,,,,,,,,,,,
1562,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5406.0,15.7,2.67,234.0,5000.0,,,,,,,,,,,,,,,,,
1563,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5407.0,13.6,2.65,182.0,5000.0,,,,,,,,,,,,,,,,,
1564,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5407.5,14.4,2.66,151.0,5000.0,,,,,,,,,,,,,,,,,
1565,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5408.0,15.7,2.65,152.0,5000.0,,,,,,,,,,,,,,,,,
1546,6038057.0,WL000774049,Well AB,A,VH1,,5409.0,14.6,2.73,47.0,6000.0,,,,,,,,,,,,,,,,,
1566,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5410.0,16.2,2.66,146.0,5000.0,,,,,,,,,,,,,,,,,
1545,6038057.0,WL000774049,Well AB,A,VH1,,5411.0,17.2,2.66,142.0,6000.0,,,,,,,,,,,,,,,,,
1567,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5412.0,15.3,2.66,216.0,5000.0,,,,,,,,,,,,,,,,,
1538,6038057.0,WL000774049,Well AB,A,VH1,,5413.0,14.1,2.72,181.0,6000.0,,,,,,,,,,,,,,,,,
1568,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5418.5,0.01,,0.0,5100.0,,,,,,,,,,,,,,,,,
1569,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5423.2,0.01,,0.0,5100.0,,,,,,,,,,,,,,,,,
1570,6038058.0,WL000774049,Well AB,Amostra Lateral,VH1,-,5434.0,0.01,,0.0,5100.0,,,,,,,,,,,,,,,,,
2481,6031736.0,WL000679757,Well AC,A - Amostra Lateral,VH1,,2875.0,12.02,2.73,0.47,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2488,6031736.0,WL000679757,Well AC,A - Amostra Lateral,VH1,,2880.3,13.39,2.72,0.12,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2495,6031736.0,WL000679757,Well AC,A - Amostra Lateral,VH1,,2884.3,15.5,2.75,0.06,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2535,6031736.0,WL000679757,Well AC,A - Amostra Lateral,VH1,,2892.0,19.87,2.62,16.82,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2486,6031736.0,WL000679757,Well AC,A - Amostra Lateral,VH1,,2895.0,13.32,2.7,0.48,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2551,6031736.0,WL000679757,Well AC,A - Amostra Lateral,VH1,,2920.0,20.99,2.74,0.81,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2510,6031736.0,WL000679757,Well AC,A - Amostra Lateral,VH1,,2922.7,18.02,2.72,0.67,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2466,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2926.35,0.0,0.0,0.0,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2584,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2926.65,22.51,2.72,4.76,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2597,6031736.0,WL000679757,Well AC,P - Amostra Plug,VV1,1,2926.7,22.86,2.72,2.6,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2537,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2927.2,20.06,2.72,1.15,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2511,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2927.55,18.12,2.71,0.81,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2516,6031736.0,WL000679757,Well AC,P - Amostra Plug,VV1,1,2927.6,18.76,2.72,0.71,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2526,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2927.95,19.22,2.73,2.55,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2518,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2928.25,18.95,2.72,1.19,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2513,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2928.75,18.52,2.73,28.85,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2545,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2929.1,20.63,2.72,2.97,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2528,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2930.05,19.41,2.73,1.82,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2505,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2930.9,17.6,2.72,0.87,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2522,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2931.2,19.06,2.72,0.94,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2521,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2931.5,19.06,2.73,5.19,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2525,6031736.0,WL000679757,Well AC,P - Amostra Plug,VV1,1,2931.5,19.21,2.75,0.63,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2523,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2932.45,19.09,2.73,2.96,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2496,6031736.0,WL000679757,Well AC,P - Amostra Plug,VV1,1,2932.7,15.72,2.73,1.03,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2504,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2932.7,17.58,2.72,14.24,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2491,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2932.95,14.57,2.73,0.68,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2479,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2933.4,11.72,2.72,2.17,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2476,6031736.0,WL000679757,Well AC,P - Amostra Plug,VV1,1,2933.6,11.38,2.72,0.1,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2472,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2933.65,10.48,2.72,0.13,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2478,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2934.0,11.61,2.72,0.41,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2559,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2934.3,21.38,2.71,59.8,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2684,6031736.0,WL000679757,Well AC,P - Amostra Plug,VV1,1,2934.55,26.09,2.71,207.74,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2695,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2934.55,27.19,2.72,193.54,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2660,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2934.85,24.9,2.71,44.16,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2620,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2935.2,23.53,2.72,296.11,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
2590,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2935.75,22.67,2.72,103.98,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
1605,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,49.5,,,,,,,0.999,25.1,0.1,62.9,
1606,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,48.5,,,,,,,0.999,23.3,0.1,62.9,
1607,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,47.6,,,,,,,0.998,22.2,0.2,62.9,
1608,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,46.6,,,,,,,0.997,20.9,0.2,62.9,
1609,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,45.7,,,,,,,0.997,20.1,0.3,62.9,
1610,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,44.7,,,,,,,0.995,19.3,0.4,62.9,
1611,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,43.8,,,,,,,0.994,18.8,0.5,62.9,
1612,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,43.0,,,,,,,0.992,18.3,0.7,62.9,
1613,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,41.9,,,,,,,0.989,17.7,0.9,62.9,
1614,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,41.1,,,,,,,0.987,17.2,1.1,62.9,
1615,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,40.0,,,,,,,0.982,16.6,1.3,62.9,
1616,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,39.2,,,,,,,0.979,16.1,1.6,62.9,
1617,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,38.1,,,,,,,0.971,15.3,2.0,62.9,
1618,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,37.3,,,,,,,0.963,14.7,2.6,62.9,
1619,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,36.2,,,,,,,0.945,13.7,3.6,62.9,
1620,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,35.4,,,,,,,0.925,12.9,4.7,62.9,
1621,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,34.6,,,,,,,0.898,12.1,6.2,62.9,
1622,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,33.5,,,,,,,0.845,10.8,9.0,62.9,
1623,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,32.7,,,,,,,0.793,9.8,11.6,62.9,
1624,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,31.6,,,,,,,0.703,8.4,16.2,62.9,
1625,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,30.8,,,,,,,0.62,7.3,20.4,62.9,
1626,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,29.7,,,,,,,0.489,5.8,27.2,62.9,
1627,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,28.9,,,,,,,0.38,4.5,33.3,62.9,
1628,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,27.8,,,,,,,0.227,2.8,42.9,62.9,
1629,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,27.0,,,,,,,0.111,1.4,51.2,62.9,
1630,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,26.2,,,,,,,0.0,0.0,60.7,62.9,
1691,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,53.1,,,,,,,1.0,34.0,0.0,62.9,
1692,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,52.3,,,,,,,1.0,31.5,0.0,62.9,
1693,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,51.4,,,,,,,1.0,29.2,0.0,62.9,
1694,6031729.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,50.4,,,,,,,0.999,26.7,0.1,62.9,
1815,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,53.1,,,,,,,1.0,0.0,34.0,62.9,
1816,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,52.3,,,,,,,1.0,0.0,31.5,62.9,
1817,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,51.4,,,,,,,1.0,0.0,29.2,62.9,
1818,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,50.4,,,,,,,0.999,0.1,26.7,62.9,
1819,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,49.5,,,,,,,0.999,0.1,25.1,62.9,
1820,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,48.5,,,,,,,0.999,0.1,23.3,62.9,
1821,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,47.6,,,,,,,0.998,0.2,22.2,62.9,
1822,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,46.6,,,,,,,0.997,0.2,20.9,62.9,
1823,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,45.7,,,,,,,0.997,0.3,20.1,62.9,
1824,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,44.7,,,,,,,0.995,0.4,19.3,62.9,
1825,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,43.8,,,,,,,0.994,0.5,18.8,62.9,
1826,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,43.0,,,,,,,0.992,0.7,18.3,62.9,
1827,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,41.9,,,,,,,0.989,0.9,17.7,62.9,
1828,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,41.1,,,,,,,0.987,1.1,17.2,62.9,
1829,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,40.0,,,,,,,0.982,1.3,16.6,62.9,
1830,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,39.2,,,,,,,0.979,1.6,16.1,62.9,
1831,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,38.1,,,,,,,0.971,2.0,15.3,62.9,
1832,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,37.3,,,,,,,0.963,2.6,14.7,62.9,
1833,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,36.2,,,,,,,0.945,3.6,13.7,62.9,
1834,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,35.4,,,,,,,0.925,4.7,12.9,62.9,
1835,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,34.6,,,,,,,0.898,6.2,12.1,62.9,
1836,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,33.5,,,,,,,0.845,9.0,10.8,62.9,
1837,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,32.7,,,,,,,0.793,11.6,9.8,62.9,
1838,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,31.6,,,,,,,0.703,16.2,8.4,62.9,
1839,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,30.8,,,,,,,0.62,20.4,7.3,62.9,
1840,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,29.7,,,,,,,0.489,27.2,5.8,62.9,
1841,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,28.9,,,,,,,0.38,33.3,4.5,62.9,
1842,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,27.8,,,,,,,0.227,42.9,2.8,62.9,
1843,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,27.0,,,,,,,0.111,51.2,1.4,62.9,
1844,6031730.0,WL000679757,Well AC,Amostra Plug,,,2935.95,23.2,,,,,Água,Óleo,,,26.2,,,,,,,0.0,60.7,0.0,62.9,
2651,6031736.0,WL000679757,Well AC,P - Amostra Plug,VH1,1,2935.95,24.6,2.72,86.67,400.0,2010-04-16 11:30:00,,,,,,,,,,,,,,,,
